link,faculty
/cattedreonline/corso/M423/0/LMPAGEBASE/2024,"Policies and governance in europe"
/cattedreonline/corso/M423/0/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/AN8/0/L22PPEBASE/2024,"Politics: philosophy and economics"
/cattedreonline/corso/T018/0/L22PPEBASE/2024,"Politics: philosophy and economics"
/cattedreonline/corso/978/A/L21BBBASE/2024,"Economics and business"
/cattedreonline/corso/978/B/L21BBBASE/2024,"Economics and business"
/cattedreonline/corso/TP03/0/3GSLMDZ/2024,"Giurisprudenza"
/cattedreonline/corso/RM262/0/LMEFIRM/2024,"Economia e finanza"
/cattedreonline/corso/M262/0/LMEFIAE/2024,"Economia e finanza"
/cattedreonline/corso/M170/0/LM19ABASE/2024,"Amministrazione, finanza e controllo"
/cattedreonline/corso/M254/0/19FLMF1/2024,"Economia e finanza"
/cattedreonline/corso/M222/A/19MLMBASE/2024,"Management"
/cattedreonline/corso/M264/A/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/M222/B/19MLMBASE/2024,"Management"
/cattedreonline/corso/M264/B/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/M335/0/LMEFIAE/2024,"Economia e finanza"
/cattedreonline/corso/RM335/0/LMEFIRM/2024,"Economia e finanza"
/cattedreonline/corso/M114/0/LMEFIRM/2024,"Economia e finanza"
/cattedreonline/corso/SJJ/0/LMEFIRM/2024,"Economia e finanza"
/cattedreonline/corso/M292/A/19MLMBASE/2024,"Management"
/cattedreonline/corso/M292/B/19MLMBASE/2024,"Management"
/cattedreonline/corso/EFI08/0/LMEFIAE/2024,"Economia e finanza"
/cattedreonline/corso/DSM01/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/M468/0/L21BABASE/2024,"Business administration"
/cattedreonline/corso/M468/0/L22PPEBASE/2024,"Politics: philosophy and economics"
/cattedreonline/corso/M468/0/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/EM84/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/M406/0/3GSLMDL/2024,"Giurisprudenza"
/cattedreonline/corso/SMDEF00005/0/LM19ABASE/2024,"Amministrazione, finanza e controllo"
/cattedreonline/corso/SMDEF00005/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/SMDEF00005/0/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/SMDEF00005/0/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/SMDEF00005/0/19FLMBASE/2024,"Economia e finanza"
/cattedreonline/corso/SMDEF00005/0/19MLMBASE/2024,"Management"
/cattedreonline/corso/SMDEF00005/0/LMSMIBASE/2024,"Strategic management, innovation and sustainability"
/cattedreonline/corso/SMDEF00005/0/LM19GMBASE/2024,"Global management and politics"
/cattedreonline/corso/TDS06/0/LAIMBASE/2024,"Management and artificial intelligence"
/cattedreonline/corso/T069/0/L21BBBASE/2024,"Economics and business"
/cattedreonline/corso/T069/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/MRK20/A/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/MRK20/B/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/MRK15/A/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/MRK15/B/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/ET21/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/MRK17/A/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/MRK17/B/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/M093/0/LMGAPGA/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/EM25/0/LM19ABASE/2024,"Amministrazione, finanza e controllo"
/cattedreonline/corso/MRK19/A/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/MRK19/B/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/BA012/A/L21BABASE/2024,"Business administration"
/cattedreonline/corso/BA012/B/L21BABASE/2024,"Business administration"
/cattedreonline/corso/M240/0/LMEFIRM/2024,"Economia e finanza"
/cattedreonline/corso/AC3/A/L21BBBASE/2024,"Economics and business"
/cattedreonline/corso/AC3/B/L21BBBASE/2024,"Economics and business"
/cattedreonline/corso/SAZ/0/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/EM67/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/EM67/0/19MLMBASE/2024,"Management"
/cattedreonline/corso/GPDI01/0/3GSLMDZ/2024,"Giurisprudenza"
/cattedreonline/corso/T085/0/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/T085/0/L21BABASE/2024,"Business administration"
/cattedreonline/corso/T085/0/L22PPEBASE/2024,"Politics: philosophy and economics"
/cattedreonline/corso/M217/0/19FLMF1/2024,"Economia e finanza"
