course_link,canale,date_year,year,language,course_id,course_name,semester,professors
/cattedreonline/corso/M423/0/LM20IRBASE/2024,0,2024,1,Inglese,M423,"Academic And Professional Communication Skills",Primo Semestre,"Franco Amodeo / James William Egerton / Dympna Hayes / Margaret Horrigan / Giovanni Licata / Mary Elizabeth Ward"
/cattedreonline/corso/M423/0/LMPAGEBASE/2024,0,2024,1,Inglese,M423,"Academic And Professional Communication Skills",Primo Semestre,"Maria Christine Hillan / Ian Andrew Nuttall"
/cattedreonline/corso/AN8/0/L22PPEBASE/2024,0,2024,1,Inglese,AN8,"Academic English",Annualità Singola,"Franco Amodeo / James William Egerton / Dympna Hayes / Maria Christine Hillan / Margaret Horrigan / Natasha Helen Lambert / Alexandra Smit"
/cattedreonline/corso/T018/0/L22PPEBASE/2024,0,2024,2,Inglese,T018,"Academic Writing Skills",II Semestre,"Marta Guglielmi / Giovanni Licata"
/cattedreonline/corso/978/A/L21BBBASE/2024,A,2024,1,Inglese,978,"Accounting",II Semestre,"Jianchuan Luo"
/cattedreonline/corso/978/B/L21BBBASE/2024,B,2024,1,Inglese,978,"Accounting",II Semestre,"Jianchuan Luo"
/cattedreonline/corso/TP03/0/3GSLMDZ/2024,0,2024,4,Inglese,TP03,"Administrative Law",II Semestre,"Elisabetta Tatì"
/cattedreonline/corso/RM262/0/LMEFIRM/2024,0,2024,1,Inglese,RM262,"Advanced Corporate Finance",Secondo Semestre,"Matteo Escudé / Elia Sartori"
/cattedreonline/corso/M262/0/LMEFIAE/2024,0,2024,1,Inglese,M262,"Advanced Corporate Finance",Secondo Semestre,"Matteo Escudé / Luana Zaccaria"
/cattedreonline/corso/M170/0/LM19ABASE/2024,0,2024,1,Inglese,M170,"Advanced Corporate Finance",Secondo Semestre,"Rosella Santella"
/cattedreonline/corso/M254/0/19FLMF1/2024,0,2024,1,Inglese,M254,"Advanced Corporate Finance",Secondo Semestre,"Joao Miguel Da Costa Monteiro / Saverio Massi Benedetti"
/cattedreonline/corso/M222/A/19MLMBASE/2024,A,2024,1,Inglese,M222,"Advanced Corporate Finance",Secondo Semestre,"Fabrizio Core"
/cattedreonline/corso/M264/A/LM19WBASE/2024,A,2024,1,Inglese,M264,"Advanced Corporate Finance",Secondo Semestre,"Raffaele Oriani"
/cattedreonline/corso/M222/B/19MLMBASE/2024,B,2024,1,Inglese,M222,"Advanced Corporate Finance",Secondo Semestre,"Fabrizio Core"
/cattedreonline/corso/M264/B/LM19WBASE/2024,B,2024,1,Inglese,M264,"Advanced Corporate Finance",Secondo Semestre,"Pierluigi Murro"
/cattedreonline/corso/M335/0/LMEFIAE/2024,0,2024,2,Inglese,M335,"Advanced Financial Economics",Primo Semestre,"Giacomo Morelli"
/cattedreonline/corso/RM335/0/LMEFIRM/2024,0,2024,2,Inglese,RM335,"Advanced Financial Economics",Primo Semestre,"Luigi Cesare Giuseppe Guiso / Luana Zaccaria"
/cattedreonline/corso/M114/0/LMEFIRM/2024,0,2024,2,Inglese,M114,"Advanced Industrial Organization",Secondo Semestre,"Andrea Pozzi"
/cattedreonline/corso/SJJ/0/LMEFIRM/2024,0,2024,2,Inglese,SJJ,"Advanced Macroeconomics",Primo Semestre,"Luigi Paciello / Juan Facundo Piguillem"
/cattedreonline/corso/M292/A/19MLMBASE/2024,A,2024,1,Inglese,M292,"Advanced Marketing Management",Primo Semestre,"Marco Francesco Mazzù"
/cattedreonline/corso/M292/B/19MLMBASE/2024,B,2024,1,Inglese,M292,"Advanced Marketing Management",Primo Semestre,"Marco Francesco Mazzù"
/cattedreonline/corso/EFI08/0/LMEFIAE/2024,0,2024,2,Inglese,EFI08,"Advanced Public Economics",Primo Semestre,"Gian Luigi Albano / Matteo Paradisi"
/cattedreonline/corso/DSM01/0/LMDSMBASE/2024,0,2024,1,Inglese,DSM01,"Advanced Statistics",Primo Semestre,"Marta Catalano"
/cattedreonline/corso/M468/0/L22PSBASE/2024,0,2024,3,Inglese,M468,"African Politics And Society",II Semestre,"Marco Massoni"
/cattedreonline/corso/M468/0/L21BABASE/2024,0,2024,3,Inglese,M468,"African Politics And Society",Secondo Semestre,"Marco Massoni"
/cattedreonline/corso/M468/0/L22PPEBASE/2024,0,2024,3,Inglese,M468,"African Politics And Society",II Semestre,"Marco Massoni"
/cattedreonline/corso/EM84/0/LMDSMBASE/2024,0,2024,2,Inglese,EM84,"Ai Frontiers: Large Language Models",Primo Semestre,"Simone Di Somma"
/cattedreonline/corso/M406/0/3GSLMDL/2024,0,2024,4,Inglese,M406,"Algorithm And Data Management Law",II Semestre,"Eugenio Prosperetti"
/cattedreonline/corso/SMDEF00005/0/LMSMIBASE/2024,0,2024,1,Inglese,SMDEF00005,"Algorithmic Trading",Primo Semestre,"Emilio Barone"
/cattedreonline/corso/SMDEF00005/0/LM19GMBASE/2024,0,2024,1,Inglese,SMDEF00005,"Algorithmic Trading",Primo Semestre,"Emilio Barone"
/cattedreonline/corso/SMDEF00005/0/LM19ABASE/2024,0,2024,1,Inglese,SMDEF00005,"Algorithmic Trading",Primo Semestre,"Emilio Barone"
